accreditation_code,project_name,state,postcode,capacity_mw,fuel_source,accreditation_start_date,approval_date,project_stage
SRPXVCS3,Bunnings Keysborough,VIC,3173,0.2,Solar,2025-06-24,2025-08-26,approved
SRPXQLM4,Ignatius Park College,QLD,4814,0.29,Solar,2025-08-04,2025-08-26,approved
SRPXVCT9,Ambassador Industrial Pty Ltd,VIC,3803,0.257,Solar,2025-07-25,2025-08-27,approved
SRPXVCT4,Dexus Dulux Dandenong,VIC,3175,0.226,Solar,2025-07-25,2025-08-27,approved
SRPXQLM3,Harbourside Townsville,QLD,4810,0.779,Solar,2025-08-04,2025-08-27,approved
SRPXQLM2,KQF Newheath Dr,QLD,4214,0.536,Solar,2025-07-30,2025-08-27,approved
SRPXVCT7,Liuzzi 25 Eton St,VIC,3072,0.275,Solar,2025-07-21,2025-08-27,approved
SRPXVCT8,Liuzzi 71 Gower St,VIC,3072,0.4,Solar,2025-07-21,2025-08-27,approved
SRPXQLM5,Mercy Community,QLD,4014,0.853,Solar,2025-08-04,2025-08-27,approved
SRPXVCP9,Norther Airfield,VIC,3045,11.278,Solar,2025-06-01,2025-08-27,approved
SRPVWAN8,Rose Farms,WA,6220,0.2,Solar,2025-08-04,2025-08-27,approved
SRPYNSE3,Suprima Bakeries Pty Ltd,NSW,2566,0.751,Solar,2025-07-23,2025-08-27,approved
