search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
"Heidke St, Avoca, QLD, 4670, Australia",-24.8866293,152.3196709,-24.8873173,-24.8859547,152.3188338,152.3206169,"Heidke Street, Sugarland Shoppingtown, Avoca, Bundaberg, Bundaberg Region, Queensland, 4670, Australia",way,174579229,nominatim,ok,exact
"HNELHD Tamworth, NSW, 2340, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 5-6 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
"ISLHD Shoalhaven Hospital, NSW, 2541, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 5-6 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
"Kingspan Insulated Panels Pty Limited, NSW, 2760, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Ornatas Tasmanian Lobster Hatchery, QLD, 4816, Australia",-19.320136,146.7237144,-19.320186,-19.320086,146.7236644,146.7237644,"Hog's Australia's Steakhouse Cannon Park, High Range Drive, Thuringowa Central, Townsville, Townsville City, Queensland, 4817, Australia",node,5574095110,nominatim,ok,postcode
"Goyder South Wind Farm 1B, SA, 5417, Australia",-34.097735,139.1556029,-34.126787,-34.0367039,139.0949723,139.2314232,"Australia Plains, The Regional Council of Goyder, South Australia, 5374, Australia",relation,6539875,nominatim,ok,postcode
"Agile Energy - ECB - 348kW, NSW, 2250, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
"ATCO Gas Australia Jandakot Microgrid, WA, 6164, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Crawley, City of Perth, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
"Caloundra NMI 3117361486, QLD, 4551, Australia",-26.8339243,152.9650657,-26.8402552,-26.8276377,152.9586711,152.9730111,"Australia Zoo, 1638, Steve Irwin Way, Beerwah, Sunshine Coast Regional, Queensland, 4519, Australia",way,193842643,nominatim,ok,postcode
"City of Stirling (Administration Centre), WA, 6021, Australia",-31.8898314,115.8087639,-31.8902616,-31.8893051,115.8083385,115.809455,"City of Stirling Administration Centre, 25, Cedric Street, Stirling, City of Stirling, Western Australia, 6021, Australia",way,121677733,nominatim,ok,exact
"Concord Hospital - 313.2kW, NSW, 2138, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"CQFMS, QLD, 4740, Australia",-21.1416067,149.1868383,-21.1418333,-21.1414374,149.1867077,149.1869706,"National Australia Bank, Sydney Street, Mackay, Mackay Regional, Queensland, 4740, Australia",way,179388117,nominatim,ok,postcode
"Mirvac Switchyards Building 2, NSW, 2144, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Seaford Central, SA, 5169, Australia",-35.1897115,138.479378,-35.1903775,-35.1881478,138.4784119,138.4799536,"Seaford Central Shopping Centre, 108, Grand Boulevard, Seaford, Adelaide, City of Onkaparinga, South Australia, 5169, Australia",way,252977614,nominatim,ok,exact
"Stockland Rockhampton Shopping Centre, QLD, 4701, Australia",-23.3475196,150.5375404,-23.3475558,-23.3474626,150.5374607,150.537622,"Australia Post, Dean Street, Frenchville, Rockhampton, Rockhampton Regional, Queensland, 4701, Australia",way,883635478,nominatim,ok,postcode
"The Good Shepherd Home, QLD, 4814, Australia",-19.3101982,146.7628243,-19.3102482,-19.3101482,146.7627743,146.7628743,"The Good Shepherd Home, Douglas Garbutt Road, Annandale, Townsville, Townsville City, Queensland, 4814, Australia",node,5590749665,nominatim,ok,exact
"Waverley Valley Care Community, VIC, 3150, Australia",-37.8688729,145.2126338,-37.869025,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
"B&J Greenacre, NSW, 2190, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Bunnings Eastgardens, NSW, 2036, Australia",-33.94916,151.224651,-33.94921,-33.94911,151.224601,151.224701,"Bunnings Warehouse, Smith Street, Hillsdale, Eastern Suburbs, Sydney, Bayside Council, New South Wales, 2036, Australia",node,6138731746,nominatim,ok,exact
"CH3059 Midwest Logistics Hub (INGH1), VIC, 3029, Australia",-37.7545199,144.9807272,-37.754641,-37.7543988,144.9803279,144.9811265,"Islamic Museum of Australia, 15A, Anderson Road, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",way,267164272,nominatim,ok,postcode
"Macaulay Rd, Kensington, VIC, 3031, Australia",-37.7947585,144.9331311,-37.7949031,-37.7946138,144.9318641,144.9343982,"Macaulay Road, Kensington, Melbourne, City of Melbourne, Victoria, 3031, Australia",way,1127643080,nominatim,ok,exact
"MF Logistics Bvd, WA, 6107, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Crawley, City of Perth, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
"Mirvac Switchyards Building 6, NSW, 2144, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Oxley Grove Care Community, QLD, 4077, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.078875,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
"Stubbo, NSW, 2852, Australia",-32.2818,149.5679,-32.3482883,-32.2059829,149.4999782,149.6266351,"Stubbo, Mid-Western Regional Council, New South Wales, 2852, Australia",relation,6059261,nominatim,ok,exact
"123 Sippy Downs, QLD, 4556, Australia",-26.7257935,153.0783709,-26.740556,-26.711049,153.044361,153.122411,"Sippy Downs, Sunshine Coast Regional, Queensland, 4556, Australia",relation,11675214,nominatim,ok,exact
"Agile Energy - RetireVerge 152kW, QLD, 4220, Australia",-28.0920694,153.4440298,-28.0921194,-28.0920194,153.4439798,153.4440798,"Intrapac Property QLD, 79-81, West Burleigh Road, Burleigh Heads, Burleigh Waters, Gold Coast City, Queensland, 4220, Australia",node,6200182522,nominatim,ok,postcode
"Baked Provisions Sydney - 200.2kW, NSW, 2170, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Chadstone Freshfood, VIC, 3145, Australia",-37.7545199,144.9807272,-37.754641,-37.7543988,144.9803279,144.9811265,"Islamic Museum of Australia, 15A, Anderson Road, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",way,267164272,nominatim,ok,postcode
