,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
332,Junction Rivers Wind Farm,NSW,,Wind,585.0,probable,,,,"Junction Rivers Wind Farm, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
333,Kalbarri Microgrid Project,WA,,Solar,5.0,probable,,,,"Kalbarri Microgrid Project, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
334,Kentbruck Green Power Hub,VIC,,Wind,600.0,probable,,,,"Kentbruck Green Power Hub, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
335,Kiamal Solar Farm - Stage 2,VIC,,Solar,150.0,probable,,,,"Kiamal Solar Farm - Stage 2, VIC, Australia",-36.5986096,144.6780052,-39.1984867,-33.9807974,140.9619017,150.0332821,"Victoria, Australia",relation,2316741,nominatim,ok,state
336,Kidston Stage 3 Wind Project,QLD,,Wind,258.0,probable,,,,"Kidston Stage 3 Wind Project, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
337,Lake Wells high renewable energy fraction microgrid -Solar,WA,,Solar,4.5,probable,,,,"Lake Wells high renewable energy fraction microgrid -Solar, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
338,Lake Wells high renewable energy fraction microgrid -Wind,WA,,Wind,9.0,probable,,,,"Lake Wells high renewable energy fraction microgrid -Wind, WA, Australia",-25.2303005,121.0187246,-35.2418503,-13.5076852,112.8656697,129.0020486,"Western Australia, Australia",relation,2316598,nominatim,ok,state
339,Lakeland Wind Farm,QLD,,Wind,100.0,probable,,,,"Lakeland Wind Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
340,Majors Creek Solar Farm,QLD,,Solar,150.0,probable,,,,"Majors Creek Solar Farm, QLD, Australia",-22.1646782,144.5844903,-29.179266,-9.0880125,137.9946464,153.6116035,"Queensland, Australia",relation,2316595,nominatim,ok,state
341,Manilla Community Solar,NSW,,Solar,4.5,probable,,,,"Manilla Community Solar, NSW, Australia",-31.8759835,147.2869493,-37.5280139,-28.1415262,140.9992723,159.3390311,"New South Wales, Australia",relation,2316593,nominatim,ok,state
