,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
28,Blacktown Warehouse 2,NSW,2148,Solar,0.2,approved,2025-02-11,2024-12-17,SRPYNS55,"NSW, 2148, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
29,HCS,QLD,4014,Solar,0.438,approved,2025-02-11,2024-11-14,SRPVQLQ4,"QLD, 4014, Australia",-27.4809085,153.0337429,-27.4810455,-27.4807450,153.0334930,153.0339932,"Brisbane Australia Temple, 200, River Terrace, Kangaroo Point, Greater Brisbane, Queensland, 4169, Australia",way,602269498,nominatim,ok,postcode
30,Intertek Townsville,QLD,4818,Solar,0.182,approved,2025-02-11,2024-10-18,SRPXQLF1,"QLD, 4818, Australia",-19.316007,146.728286,-19.3160570,-19.3159570,146.7282360,146.7283360,"ANZ, Thuringowa Drive, Thuringowa Central, Townsville, Townsville City, Queensland, 4817, Australia",node,6630426423,nominatim,ok,postcode
31,ISLHD-Bulli Hospital,NSW,2516,Solar,0.281,approved,2025-02-11,2025-01-13,SRPYNS65,"NSW, 2516, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
32,Region Group Treendale,WA,6233,Solar,0.34,approved,2025-02-11,2025-01-28,SRPVWAN3,"WA, 6233, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Nedlands, City of Nedlands, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
33,Woolworths DC Moorebank RDC 7950,NSW,2170,Solar,2.02,approved,2025-02-11,2024-12-12,SRPYNS52,"NSW, 2170, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
34,Bunnings Padstow,NSW,2211,Solar,0.28,approved,2025-02-19,2024-11-15,SRPYNS34,"Bunnings Padstow, NSW, 2211, Australia",-33.9420977,151.0367608,-33.9426571,-33.9415625,151.0355320,151.0379893,"Bunnings Warehouse, Bryant Street, Padstow, Sydney, Canterbury-Bankstown Council, New South Wales, 2211, Australia",way,102757550,nominatim,ok,exact
35,Five Star Seafoods,SA,5291,Solar,0.189,approved,2025-02-19,2024-10-14,SRPVSAX1,"SA, 5291, Australia",-27.586841,152.7050436,-27.5869699,-27.5867218,152.7047784,152.7053036,"SA, Wulkuraka Connection Road, Karrabin, Greater Brisbane, Queensland, Australia",way,439252602,nominatim,ok,postcode
36,Morgan Sawmill,SA,5491,Solar,0.199,approved,2025-02-19,2024-08-13,SRPVSAW5,"Morgan Sawmill, SA, 5491, Australia",-33.2023469,138.5725533,-33.2028413,-33.2020614,138.5722266,138.5728190,"Morgan Sawmill, Wilkins Highway, Jamestown, Northern Areas Council, South Australia, 5490, Australia",way,840063107,nominatim,ok,exact
37,Northpoint Shopping Centre,QLD,4350,Solar,0.298,approved,2025-02-19,2024-12-16,SRPXQLG4,"Northpoint Shopping Centre, QLD, 4350, Australia",-27.5412543,151.9530737,-27.5416510,-27.5399956,151.9526216,151.9536010,"Northpoint Shopping Centre, Jones Street, Harlaxton, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",relation,15062832,nominatim,ok,exact
